booking_id,guest_id,room_type_id,channel_id,country_id,checkin_date,checkout_date,adults,children,total_price,is_cancelled
2b550889-b2e1-4570-8f59-daf6e60c0b23,58,1,,5,2024-11-15,2024-11-19,2,1,749.65,0
b1ec405d-59ba-4512-8f41-37924f6ee3ae,217,1,1,2,2025-02-19,2025-02-23,2,0,583.18,1
504867d9-07a9-45a4-aa43-34a9a5bd4c5b,113,4,,5,2024-08-11,2024-08-12,2,,373.24,0
c1cb6781-b1a9-4b36-844f-54b7bbc03a03,111,3,1,2,2024-12-26,2025-01-02,1,2,855.12,1
79b7a027-78a5-40a0-bdb7-268ecb574114,23,,4,2,2024-12-27,2025-01-03,1,2,837.93,1
43391d55-2e04-416b-a121-e33bcab336d5,296,2,,2,2024-11-18,2024-11-19,2,2,985.96,0
0956c8e5-bb1e-4860-bdf8-fd7a3eb7f6b8,52,4,3,,2025-04-02,2025-04-08,2,2,387.51,1
cb22e16a-bffe-4a81-8116-5e10c35e7b99,37,,,3,2024-10-21,2024-10-30,2,1,489.15,1
23d94e9f-ca4e-4bd7-9d80-4a63316f56b7,286,2,,6,2025-01-06,2025-01-07,2,0,814.79,1
426d24e6-f8c8-42bc-8414-7015d5fb2415,138,1,2,6,2025-01-15,2025-01-19,,,890.45,1
877e2ab8-3099-4ad2-ad1c-7708954c2595,74,3,2,4,2024-09-20,2024-09-29,3,,902.93,1
a950137c-16e9-4494-a0db-f535a54f55f2,186,2,2,,2024-07-30,2024-08-01,1,0,195.2,0
28329899-556b-4865-9618-d7923309e2d1,217,,1,,2024-11-14,2024-11-21,,2,972.52,0
8067ff3b-a7c3-4b50-b738-93b008dc261a,59,,,5,2024-12-01,2024-12-07,1,2,463.03,1
20ad66ba-8539-46c1-980e-0cc27a628a47,2,,,5,2024-07-14,2024-07-23,2,0,876.99,1
80092f68-de99-4245-b3fc-b1e2547a8366,260,,2,3,2024-11-06,2024-11-12,2,0,619,1
25b93b5d-f923-42e5-b0b4-0dac50cc4224,10,1,3,5,2024-10-20,2024-10-24,1,1,884.11,0
2bfd76d1-4c0c-45a5-bdfd-564fbfc222dd,44,,4,2,2024-12-09,2024-12-18,2,1,676.76,0
e9fb8714-1b9a-48d6-93eb-ba8c1bd8c098,136,,,,2024-12-03,2024-12-07,2,2,429.04,1
